method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score,strategy,backbone
scratch_t2,42,T1_all,49,0.595,0.86325,0.35,0.65,0.245,0.2132499999999999,1.6744438190460205,,0.0,0.4231820667031165,,scratch_t2,resnet18
scratch_t2,42,T2_nonshortcut_normal,49,0.7033333333333334,0.9166666666666666,0.35,0.65,0.3533333333333334,0.2666666666666666,1.1804709696769715,,0.0,0.4231820667031165,,scratch_t2,resnet18
scratch_t2,42,T2_shortcut_masked,49,0.612,0.89,0.35,0.65,0.262,0.24,1.457520276069641,,0.0,0.4231820667031165,,scratch_t2,resnet18
scratch_t2,42,T2_shortcut_normal,49,0.516,0.818,0.35,0.65,0.166,0.1679999999999999,1.954508599281311,,0.0,0.4231820667031165,,scratch_t2,resnet18
sgd,42,T1_all,49,0.69,0.91425,0.35,0.65,0.3399999999999999,0.26425,1.5361135569810866,,0.0,0.4269230769230769,,sgd,resnet18
sgd,42,T2_nonshortcut_normal,49,0.794,0.952,0.35,0.65,0.444,0.3019999999999999,0.9726229050556818,,0.0,0.4269230769230769,,sgd,resnet18
sgd,42,T2_shortcut_masked,49,0.73,0.932,0.35,0.65,0.38,0.282,1.2587260055541991,,0.0,0.4269230769230769,,sgd,resnet18
sgd,42,T2_shortcut_normal,49,0.642,0.846,0.35,0.65,0.292,0.1959999999999999,1.8960171222686768,,0.0,0.4269230769230769,,sgd,resnet18
derpp,42,T1_all,49,0.67875,0.8985,0.35,0.65,0.32875,0.2484999999999999,1.296927321910858,,0.0,0.4205607476635514,,derpp,resnet18
derpp,42,T2_nonshortcut_normal,49,0.7886666666666666,0.948,0.35,0.65,0.4386666666666666,0.2979999999999999,0.8350510768095653,,0.0,0.4205607476635514,,derpp,resnet18
derpp,42,T2_shortcut_masked,49,0.692,0.92,0.35,0.65,0.3419999999999999,0.27,1.131588514328003,,0.0,0.4205607476635514,,derpp,resnet18
derpp,42,T2_shortcut_normal,49,0.58,0.836,0.35,0.65,0.2299999999999999,0.1859999999999999,1.6334992942810058,,0.0,0.4205607476635514,,derpp,resnet18
ewc_on,42,T1_all,49,0.687,0.91075,0.35,0.65,0.3370000000000001,0.2607499999999999,1.4452821068763733,,0.0,0.431042767900048,,ewc_on,resnet18
ewc_on,42,T2_nonshortcut_normal,49,0.7866666666666666,0.952,0.35,0.65,0.4366666666666666,0.3019999999999999,0.8993781395753224,,0.0,0.431042767900048,,ewc_on,resnet18
ewc_on,42,T2_shortcut_masked,49,0.734,0.94,0.35,0.65,0.384,0.2899999999999999,1.1198392066955567,,0.0,0.431042767900048,,ewc_on,resnet18
ewc_on,42,T2_shortcut_normal,49,0.618,0.864,0.35,0.65,0.268,0.2139999999999999,1.7162779092788696,,0.0,0.431042767900048,,ewc_on,resnet18
gpm,42,T1_all,49,0.68575,0.9085,0.35,0.65,0.33575,0.25849999999999995,1.5177930188179016,,0.0,0.41921397379912656,
gpm,42,T2_nonshortcut_normal,49,0.7893333333333333,0.9473333333333334,0.35,0.65,0.43933333333333335,0.29733333333333334,0.933272792259852,,0.0,0.41921397379912656,
gpm,42,T2_shortcut_masked,49,0.706,0.934,0.35,0.65,0.356,0.28400000000000003,1.2506264190673828,,0.0,0.41921397379912656,
gpm,42,T2_shortcut_normal,49,0.608,0.852,0.35,0.65,0.258,0.20199999999999996,2.0049846334457397,,0.0,0.41921397379912656,
dgr,42,T1_all,49,0.6305,0.87025,0.35,0.65,0.28049999999999997,0.22024999999999995,1.620542908191681,,0.0,0.4287776708373436,
dgr,42,T2_nonshortcut_normal,49,0.7326666666666667,0.9193333333333333,0.35,0.65,0.3826666666666667,0.2693333333333333,1.098778493642807,,0.0,0.4287776708373436,
dgr,42,T2_shortcut_masked,49,0.59,0.854,0.35,0.65,0.24,0.20399999999999996,1.7822478713989258,,0.0,0.4287776708373436,
dgr,42,T2_shortcut_normal,49,0.466,0.718,0.35,0.65,0.11600000000000005,0.06799999999999995,2.7166421241760252,,0.0,0.4287776708373436,
